E_step,E_exx,E_eyy,E_exy,E_rix,E_riy,E_rjx,E_rjy,E_rr_absx,E_rr_absy,E_rr_abs,E_rr_minx,E_rr_miny,E_rr_min,E_rr_fixx,E_rr_fixy,E_rr_fix,E_v1x,E_v1y,E_v2x,E_v2y,E_Lx,E_Ly,E_Dxy,
 54.0000, 0.0000 , 0.0000 , 0.5400 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.6000 , 2.5000 , 5.2355 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.6000, 10.0000, 10.0000, 10.0000, -4.6000,
 55.0000, 0.0000 , 0.0000 , 0.5500 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.5000 , 2.5000 , 5.1478 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.5000, 10.0000, 10.0000, 10.0000, -4.5000,
 56.0000, 0.0000 , 0.0000 , 0.5600 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.4000 , 2.5000 , 5.0606 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.4000, 10.0000, 10.0000, 10.0000, -4.4000,
 57.0000, 0.0000 , 0.0000 , 0.5700 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.3000 , 2.5000 , 4.9739 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.3000, 10.0000, 10.0000, 10.0000, -4.3000,
 58.0000, 0.0000 , 0.0000 , 0.5800 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.2000 , 2.5000 , 4.8877 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.2000, 10.0000, 10.0000, 10.0000, -4.2000,
 59.0000, 0.0000 , 0.0000 , 0.5900 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.1000 , 2.5000 , 4.8021 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.1000, 10.0000, 10.0000, 10.0000, -4.1000,
 60.0000, 0.0000 , 0.0000 , 0.6000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.0000 , 2.5000 , 4.7170 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.0000, 10.0000, 10.0000, 10.0000, -4.0000,
 61.0000, 0.0000 , 0.0000 , 0.6100 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.9000 , 2.5000 , 4.6325 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.9000, 10.0000, 10.0000, 10.0000, -3.9000,
 62.0000, 0.0000 , 0.0000 , 0.6200 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.8000 , 2.5000 , 4.5486 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.8000, 10.0000, 10.0000, 10.0000, -3.8000,
 63.0000, 0.0000 , 0.0000 , 0.6300 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.7000 , 2.5000 , 4.4654 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.7000, 10.0000, 10.0000, 10.0000, -3.7000,
 64.0000, 0.0000 , 0.0000 , 0.6400 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.6000 , 2.5000 , 4.3829 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.6000, 10.0000, 10.0000, 10.0000, -3.6000,
 65.0000, 0.0000 , 0.0000 , 0.6500 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.5000 , 2.5000 , 4.3012 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.5000, 10.0000, 10.0000, 10.0000, -3.5000,
 66.0000, 0.0000 , 0.0000 , 0.6600 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.4000 , 2.5000 , 4.2202 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.4000, 10.0000, 10.0000, 10.0000, -3.4000,
 67.0000, 0.0000 , 0.0000 , 0.6700 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.3000 , 2.5000 , 4.1400 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.3000, 10.0000, 10.0000, 10.0000, -3.3000,
 68.0000, 0.0000 , 0.0000 , 0.6800 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.2000 , 2.5000 , 4.0608 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.2000, 10.0000, 10.0000, 10.0000, -3.2000,
 69.0000, 0.0000 , 0.0000 , 0.6900 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.1000 , 2.5000 , 3.9825 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.1000, 10.0000, 10.0000, 10.0000, -3.1000,
 70.0000, 0.0000 , 0.0000 , 0.7000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 3.0000 , 2.5000 , 3.9051 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -3.0000, 10.0000, 10.0000, 10.0000, -3.0000,
 71.0000, 0.0000 , 0.0000 , 0.7100 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.9000 , 2.5000 , 3.8288 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.9000, 10.0000, 10.0000, 10.0000, -2.9000,
 72.0000, 0.0000 , 0.0000 , 0.7200 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.8000 , 2.5000 , 3.7537 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.8000, 10.0000, 10.0000, 10.0000, -2.8000,
 73.0000, 0.0000 , 0.0000 , 0.7300 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.7000 , 2.5000 , 3.6797 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.7000, 10.0000, 10.0000, 10.0000, -2.7000,
 74.0000, 0.0000 , 0.0000 , 0.7400 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.6000 , 2.5000 , 3.6069 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.6000, 10.0000, 10.0000, 10.0000, -2.6000,
 75.0000, 0.0000 , 0.0000 , 0.7500 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.5000 , 2.5000 , 3.5355 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.5000, 10.0000, 10.0000, 10.0000, -2.5000,
 76.0000, 0.0000 , 0.0000 , 0.7600 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.4000 , 2.5000 , 3.4655 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.4000, 10.0000, 10.0000, 10.0000, -2.4000,
 77.0000, 0.0000 , 0.0000 , 0.7700 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.3000 , 2.5000 , 3.3971 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.3000, 10.0000, 10.0000, 10.0000, -2.3000,
 78.0000, 0.0000 , 0.0000 , 0.7800 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.2000 , 2.5000 , 3.3302 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.2000, 10.0000, 10.0000, 10.0000, -2.2000,
 79.0000, 0.0000 , 0.0000 , 0.7900 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.1000 , 2.5000 , 3.2650 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.1000, 10.0000, 10.0000, 10.0000, -2.1000,
 80.0000, 0.0000 , 0.0000 , 0.8000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 2.0000 , 2.5000 , 3.2016 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -2.0000, 10.0000, 10.0000, 10.0000, -2.0000,
 81.0000, 0.0000 , 0.0000 , 0.8100 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 1.9000 , 2.5000 , 3.1401 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -1.9000, 10.0000, 10.0000, 10.0000, -1.9000,
 82.0000, 0.0000 , 0.0000 , 0.8200 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 1.8000 , 2.5000 , 3.0806 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -1.8000, 10.0000, 10.0000, 10.0000, -1.8000,
