A_step,A_exx,A_eyy,A_exy,A_rix,A_riy,A_rjx,A_rjy,A_rr_absx,A_rr_absy,A_rr_abs,A_rr_minx,A_rr_miny,A_rr_min,A_rr_fixx,A_rr_fixy,A_rr_fix,A_v1x,A_v1y,A_v2x,A_v2y,A_Lx,A_Ly,A_Dxy,
 30.0000, 0.0000 , 0.3000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.2500, 0.0000 , 16.2500, 16.2500, 0.0000 , -3.7500, 3.7500 , 0.0000 , 6.2500 , 6.2500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 31.0000, 0.0000 , 0.3100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.3750, 0.0000 , 16.3750, 16.3750, 0.0000 , -3.6250, 3.6250 , 0.0000 , 6.3750 , 6.3750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 32.0000, 0.0000 , 0.3200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.5000, 0.0000 , 16.5000, 16.5000, 0.0000 , -3.5000, 3.5000 , 0.0000 , 6.5000 , 6.5000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 33.0000, 0.0000 , 0.3300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.6250, 0.0000 , 16.6250, 16.6250, 0.0000 , -3.3750, 3.3750 , 0.0000 , 6.6250 , 6.6250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 34.0000, 0.0000 , 0.3400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.7500, 0.0000 , 16.7500, 16.7500, 0.0000 , -3.2500, 3.2500 , 0.0000 , 6.7500 , 6.7500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 35.0000, 0.0000 , 0.3500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.8750, 0.0000 , 16.8750, 16.8750, 0.0000 , -3.1250, 3.1250 , 0.0000 , 6.8750 , 6.8750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 36.0000, 0.0000 , 0.3600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.0000, 0.0000 , 17.0000, 17.0000, 0.0000 , -3.0000, 3.0000 , 0.0000 , 7.0000 , 7.0000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 37.0000, 0.0000 , 0.3700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.1250, 0.0000 , 17.1250, 17.1250, 0.0000 , -2.8750, 2.8750 , 0.0000 , 7.1250 , 7.1250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 38.0000, 0.0000 , 0.3800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.2500, 0.0000 , 17.2500, 17.2500, 0.0000 , -2.7500, 2.7500 , 0.0000 , 7.2500 , 7.2500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 39.0000, 0.0000 , 0.3900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.3750, 0.0000 , 17.3750, 17.3750, 0.0000 , -2.6250, 2.6250 , 0.0000 , 7.3750 , 7.3750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
