D_step,D_exx,D_eyy,D_exy,D_rix,D_riy,D_rjx,D_rjy,D_rr_absx,D_rr_absy,D_rr_abs,D_rr_minx,D_rr_miny,D_rr_min,D_rr_fixx,D_rr_fixy,D_rr_fix,D_v1x,D_v1y,D_v2x,D_v2y,D_Lx,D_Ly,D_Dxy,
 54.0000, 0.0000 , 0.5400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.2500, 0.0000 , 19.2500, 19.2500, 0.0000 , 3.8500 , 3.8500 , 0.0000 , 3.8500 , 3.8500 , 10.0000, 0.0000 , 0.0000 , 15.4000, 10.0000, 15.4000, 0.0000 ,
 55.0000, 0.0000 , 0.5500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.3750, 0.0000 , 19.3750, 19.3750, 0.0000 , 3.8750 , 3.8750 , 0.0000 , 3.8750 , 3.8750 , 10.0000, 0.0000 , 0.0000 , 15.5000, 10.0000, 15.5000, 0.0000 ,
 56.0000, 0.0000 , 0.5600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.5000, 0.0000 , 19.5000, 19.5000, 0.0000 , 3.9000 , 3.9000 , 0.0000 , 3.9000 , 3.9000 , 10.0000, 0.0000 , 0.0000 , 15.6000, 10.0000, 15.6000, 0.0000 ,
 57.0000, 0.0000 , 0.5700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.6250, 0.0000 , 19.6250, 19.6250, 0.0000 , 3.9250 , 3.9250 , 0.0000 , 3.9250 , 3.9250 , 10.0000, 0.0000 , 0.0000 , 15.7000, 10.0000, 15.7000, 0.0000 ,
 58.0000, 0.0000 , 0.5800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.7500, 0.0000 , 19.7500, 19.7500, 0.0000 , 3.9500 , 3.9500 , 0.0000 , 3.9500 , 3.9500 , 10.0000, 0.0000 , 0.0000 , 15.8000, 10.0000, 15.8000, 0.0000 ,
 59.0000, 0.0000 , 0.5900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.8750, 0.0000 , 19.8750, 19.8750, 0.0000 , 3.9750 , 3.9750 , 0.0000 , 3.9750 , 3.9750 , 10.0000, 0.0000 , 0.0000 , 15.9000, 10.0000, 15.9000, 0.0000 ,
 60.0000, 0.0000 , 0.6000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.0000, 0.0000 , 20.0000, 20.0000, 0.0000 , 4.0000 , 4.0000 , 0.0000 , 4.0000 , 4.0000 , 10.0000, 0.0000 , 0.0000 , 16.0000, 10.0000, 16.0000, 0.0000 ,
 61.0000, 0.0000 , 0.6100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.1250, 0.0000 , 20.1250, 20.1250, 0.0000 , 4.0250 , 4.0250 , 0.0000 , 4.0250 , 4.0250 , 10.0000, 0.0000 , 0.0000 , 16.1000, 10.0000, 16.1000, 0.0000 ,
 62.0000, 0.0000 , 0.6200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.2500, 0.0000 , 20.2500, 20.2500, 0.0000 , 4.0500 , 4.0500 , 0.0000 , 4.0500 , 4.0500 , 10.0000, 0.0000 , 0.0000 , 16.2000, 10.0000, 16.2000, 0.0000 ,
 63.0000, 0.0000 , 0.6300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 20.3750, 0.0000 , 20.3750, 20.3750, 0.0000 , 4.0750 , 4.0750 , 0.0000 , 4.0750 , 4.0750 , 10.0000, 0.0000 , 0.0000 , 16.3000, 10.0000, 16.3000, 0.0000 ,
