F_step,F_exx,F_eyy,F_exy,F_rix,F_riy,F_rjx,F_rjy,F_rr_absx,F_rr_absy,F_rr_abs,F_rr_minx,F_rr_miny,F_rr_min,F_rr_fixx,F_rr_fixy,F_rr_fix,F_v1x,F_v1y,F_v2x,F_v2y,F_Lx,F_Ly,F_Dxy,
 43.0000, 0.0000 , 0.0000 , 0.4300 , 0.0000 , 0.0000 , 5.3750 , 12.5000, 5.3750 , 12.5000, 13.6066, 1.0750 , 2.5000 , 2.7213 , 1.0750 , 2.5000 , 2.7213 , 10.0000, 0.0000 , 4.3000 , 10.0000, 10.0000, 10.0000, 4.3000 ,
 44.0000, 0.0000 , 0.0000 , 0.4400 , 0.0000 , 0.0000 , 5.5000 , 12.5000, 5.5000 , 12.5000, 13.6565, 1.1000 , 2.5000 , 2.7313 , 1.1000 , 2.5000 , 2.7313 , 10.0000, 0.0000 , 4.4000 , 10.0000, 10.0000, 10.0000, 4.4000 ,
 45.0000, 0.0000 , 0.0000 , 0.4500 , 0.0000 , 0.0000 , 5.6250 , 12.5000, 5.6250 , 12.5000, 13.7073, 1.1250 , 2.5000 , 2.7415 , 1.1250 , 2.5000 , 2.7415 , 10.0000, 0.0000 , 4.5000 , 10.0000, 10.0000, 10.0000, 4.5000 ,
 46.0000, 0.0000 , 0.0000 , 0.4600 , 0.0000 , 0.0000 , 5.7500 , 12.5000, 5.7500 , 12.5000, 13.7591, 1.1500 , 2.5000 , 2.7518 , 1.1500 , 2.5000 , 2.7518 , 10.0000, 0.0000 , 4.6000 , 10.0000, 10.0000, 10.0000, 4.6000 ,
 47.0000, 0.0000 , 0.0000 , 0.4700 , 0.0000 , 0.0000 , 5.8750 , 12.5000, 5.8750 , 12.5000, 13.8118, 1.1750 , 2.5000 , 2.7624 , 1.1750 , 2.5000 , 2.7624 , 10.0000, 0.0000 , 4.7000 , 10.0000, 10.0000, 10.0000, 4.7000 ,
 48.0000, 0.0000 , 0.0000 , 0.4800 , 0.0000 , 0.0000 , 6.0000 , 12.5000, 6.0000 , 12.5000, 13.8654, 1.2000 , 2.5000 , 2.7731 , 1.2000 , 2.5000 , 2.7731 , 10.0000, 0.0000 , 4.8000 , 10.0000, 10.0000, 10.0000, 4.8000 ,
 49.0000, 0.0000 , 0.0000 , 0.4900 , 0.0000 , 0.0000 , 6.1250 , 12.5000, 6.1250 , 12.5000, 13.9200, 1.2250 , 2.5000 , 2.7840 , 1.2250 , 2.5000 , 2.7840 , 10.0000, 0.0000 , 4.9000 , 10.0000, 10.0000, 10.0000, 4.9000 ,
 50.0000, 0.0000 , 0.0000 , 0.5000 , 0.0000 , 0.0000 , 6.2500 , 12.5000, 6.2500 , 12.5000, 13.9754, 1.2500 , 2.5000 , 2.7951 , 1.2500 , 2.5000 , 2.7951 , 10.0000, 0.0000 , 5.0000 , 10.0000, 10.0000, 10.0000, 5.0000 ,
 51.0000, 0.0000 , 0.0000 , 0.5100 , 0.0000 , 0.0000 , 6.3750 , 12.5000, 6.3750 , 12.5000, 14.0318, 1.2750 , 2.5000 , 2.8064 , 1.2750 , 2.5000 , 2.8064 , 10.0000, 0.0000 , -4.9000, 10.0000, 10.0000, 10.0000, -4.9000,
 52.0000, 0.0000 , 0.0000 , 0.5200 , 0.0000 , 0.0000 , 6.5000 , 12.5000, 6.5000 , 12.5000, 14.0890, 1.3000 , 2.5000 , 2.8178 , 1.3000 , 2.5000 , 2.8178 , 10.0000, 0.0000 , -4.8000, 10.0000, 10.0000, 10.0000, -4.8000,
 53.0000, 0.0000 , 0.0000 , 0.5300 , 0.0000 , 0.0000 , 6.6250 , 12.5000, 6.6250 , 12.5000, 14.1471, 1.3250 , 2.5000 , 2.8294 , 1.3250 , 2.5000 , 2.8294 , 10.0000, 0.0000 , -4.7000, 10.0000, 10.0000, 10.0000, -4.7000,
 54.0000, 0.0000 , 0.0000 , 0.5400 , 0.0000 , 0.0000 , 6.7500 , 12.5000, 6.7500 , 12.5000, 14.2061, 1.3500 , 2.5000 , 2.8412 , 1.3500 , 2.5000 , 2.8412 , 10.0000, 0.0000 , -4.6000, 10.0000, 10.0000, 10.0000, -4.6000,
 55.0000, 0.0000 , 0.0000 , 0.5500 , 0.0000 , 0.0000 , 6.8750 , 12.5000, 6.8750 , 12.5000, 14.2659, 1.3750 , 2.5000 , 2.8532 , 1.3750 , 2.5000 , 2.8532 , 10.0000, 0.0000 , -4.5000, 10.0000, 10.0000, 10.0000, -4.5000,
 56.0000, 0.0000 , 0.0000 , 0.5600 , 0.0000 , 0.0000 , 7.0000 , 12.5000, 7.0000 , 12.5000, 14.3265, 1.4000 , 2.5000 , 2.8653 , 1.4000 , 2.5000 , 2.8653 , 10.0000, 0.0000 , -4.4000, 10.0000, 10.0000, 10.0000, -4.4000,
 57.0000, 0.0000 , 0.0000 , 0.5700 , 0.0000 , 0.0000 , 7.1250 , 12.5000, 7.1250 , 12.5000, 14.3880, 1.4250 , 2.5000 , 2.8776 , 1.4250 , 2.5000 , 2.8776 , 10.0000, 0.0000 , -4.3000, 10.0000, 10.0000, 10.0000, -4.3000,
 58.0000, 0.0000 , 0.0000 , 0.5800 , 0.0000 , 0.0000 , 7.2500 , 12.5000, 7.2500 , 12.5000, 14.4503, 1.4500 , 2.5000 , 2.8901 , 1.4500 , 2.5000 , 2.8901 , 10.0000, 0.0000 , -4.2000, 10.0000, 10.0000, 10.0000, -4.2000,
 59.0000, 0.0000 , 0.0000 , 0.5900 , 0.0000 , 0.0000 , 7.3750 , 12.5000, 7.3750 , 12.5000, 14.5135, 1.4750 , 2.5000 , 2.9027 , 1.4750 , 2.5000 , 2.9027 , 10.0000, 0.0000 , -4.1000, 10.0000, 10.0000, 10.0000, -4.1000,
 60.0000, 0.0000 , 0.0000 , 0.6000 , 0.0000 , 0.0000 , 7.5000 , 12.5000, 7.5000 , 12.5000, 14.5774, 1.5000 , 2.5000 , 2.9155 , 1.5000 , 2.5000 , 2.9155 , 10.0000, 0.0000 , -4.0000, 10.0000, 10.0000, 10.0000, -4.0000,
